"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC107998125",25.946,24.549,22.14,50.86,45.141,54.331,50.327,48.403,51.062,48.651,50.117,51.214,107.882,114.516,114.398
"LOC108000868",8.005,8.131,8.381,7.782,9.116,8.371,14.283,11.234,13.242,14.071,15.377,16.839,11.336,11.376,9.749
"LOC108002671",29.272,29.842,35.993,5.374,6.811,6.241,5.153,5.976,5.457,1.976,1.507,1.759,0.94,0.556,0.775
"LOC108004454",393.64,396.925,398.147,530.528,527.733,529.545,454.797,429.647,432.072,495.981,516.752,523.304,421.181,442.643,436.287
"LOC107997362",70.483,64.161,51.467,97.357,68.909,79.853,79.392,78.07,73.95,117.968,103.213,99.036,76.674,73.471,79.666
"LOC108000801",17.659,17.436,18.213,59.149,58.391,56.53,42.973,54.865,50.35,57.347,47.268,40.649,34.221,35.619,35.285
"LOC108002966",7.613,6.295,7.007,2.796,2.743,3.512,7.033,7.837,7.958,1.221,1.491,1.512,0.939,0.89,0.81
"LOC108001594",137,121.823,128.507,256.399,261.261,254.421,115.544,126.306,117.341,136.112,115.752,116.913,109.305,98.406,106.066
"LOC107995705",45.014,43.476,61.893,15.975,12.14,13.144,31.354,19.974,23.614,32.117,30.357,37.521,16.233,23.541,18.745
"LOC107993262",2.189,1.945,2.333,12.89,9.939,10.33,0.942,0.987,1.178,0.744,0.322,1.59,2.106,1.781,3.262
"LOC108004501",94.4,96.248,85.066,99.951,91.854,91.817,82.217,84.319,80.503,70.783,69.813,69.254,67.565,64.567,61.034
"LOC108001137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC108002469",5.129,7.816,9.036,15.762,16.511,16.048,10.052,11.335,14.136,12.315,12.189,10.692,11.529,10.237,10.405
"LOC107994689",1.654,1.68,1.867,4.647,3.802,6.101,2.291,1.931,1.976,1.641,1.144,1.414,0.375,0.063,0.05
"LOC108001051",6.463,13.13,10.336,20.164,21.265,23.023,12.431,15.355,14.119,11.954,12.724,9.076,18.481,15.779,20.102
"LOC108000717",0,0,0,1.726,0,0,0.934,0.326,1.668,2.654,0.956,0.787,11.626,11.999,12.926
"LOC107996282",0,0,0.467,1.672,3.601,3.274,1.696,1.58,1.818,1.965,3.28,2.385,1.444,1.924,2.212
"LOC107993047",0.235,0,0,1.196,1.127,0.167,0,0,0.144,0.255,0,0.227,0.258,0,0
"LOC114577045",21.627,16.174,22.298,1.513,2.444,1.863,10.371,9.577,8.483,2.198,2.933,5.409,19.604,17.639,17.495
"LOC108001354",114.899,122.091,120.703,19.646,20.677,20.506,52.223,43.834,45.982,44.219,46.887,40.921,89.841,83.95,86.064
"LOC114577126",0,0,0.518,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107998183",99.883,110.271,106.731,35.835,31.413,35.027,29.697,37.131,37.579,28.501,26.735,27.577,27.587,21.363,25.083
"LOC108002605",12.968,11.915,15.041,47.478,47.438,46.239,25.52,33.824,31.015,38.674,37.412,34.139,36.922,34.808,35.539
"LOC114577263",3.499,4.265,0.995,8.91,11.991,9.472,21.293,24.831,20.238,20.937,18.093,22.363,29.244,34.167,27.568
"LOC108003616",36.63,35.78,38.58,117.019,109.934,110.654,68.305,57.386,63.646,65.407,74.208,80.792,77.715,76.077,80.222
"LOC108000875",3.284,2.897,3.502,5.173,5.51,7.02,52.754,41.85,47.605,56.285,57.651,60.73,60.27,59.479,58.786
"LOC108003943",0,0.075,0.052,0.234,0.252,0.21,0.042,0.177,0.045,0.16,0.13,0.071,0.283,0.527,0.649
"LOC107997503",18.083,19.493,20.565,10.433,9.714,10.254,11.104,9.234,10.629,14.496,13.1,13.082,30.767,29.457,29.348
"LOC114576991",5.607,6.388,5.587,0.167,0.036,0.112,0.782,1.166,0.838,0.143,0.154,0.228,0.836,0.785,0.733
"LOC107995771",0,0,0,8.372,8.37,10.372,7.01,5.084,6.936,12.007,14.902,9.778,9.297,3.669,8.034
